RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
0.020302153675208993,0.1710649012180555,0.04681213090408087,0.01497988188930588,0.9767685485500074,0.008559932508174788,0.11729782515108263,0.0,0.0,'build wind float'
0.020354460790059935,0.16321903629388024,0.047247615769281125,0.018120534456968613,0.9783746344951424,0.007650892326275636,0.11449493253180908,0.0,0.0,'vehic wind float'
0.020395783869168575,0.1774971869003952,0.046759289206160126,0.018945574074909703,0.9760329792918021,0.007927580641274273,0.11327034712871548,0.0,0.0,'build wind float'
0.019814741519878925,0.1885883435358175,0.022787758177244613,0.020168475628136038,0.9763375701802217,0.0,0.09940177273867046,0.0,0.0,tableware
0.02099254742681858,0.16833123633403646,0.0,0.01368546636862085,0.9601723204224387,0.0016422559642345017,0.22156770050797156,0.0,0.0032845119284690034,'build wind non-float'
0.02022749855874824,0.17005743735718573,0.03801283893866505,0.01920648704269392,0.977263406679294,0.007602567787733009,0.11723959798977746,0.0014671622046502299,0.0029343244093004597,'build wind non-float'
0.02026270782691857,0.18209589914228536,0.04872800820156463,0.008677590501648496,0.9745601640312925,0.0008010083539983226,0.11921674335341702,0.0,0.0,'vehic wind float'
0.020336684403672967,0.17599401533503875,0.038038280331165145,0.017144013670384293,0.9757354655371059,0.007366568373993251,0.12148140936748869,0.0,0.0,'build wind float'
0.020111197432485916,0.18764877211082576,0.0,0.03556567957970389,0.9739422478934583,0.0010616620770060863,0.12036593798056502,0.008095173337171408,0.0006635387981288039,headlamps
0.020473882489446895,0.17791177887449322,0.052604695800646216,0.017534898600215405,0.9756147813489079,0.00741861094624498,0.11384195706601385,0.0,0.0037767473908156264,'build wind non-float'
0.02034981907789727,0.17930656743987305,0.04804771792176239,0.01999751388363854,0.9759860467236204,0.006039517615863988,0.1101876436138741,0.0,0.0,'build wind non-float'
0.02018347143060134,0.16227328539262853,0.043228539141478915,0.01542926320126632,0.9782950934940844,0.008246675159297516,0.1183796918028192,0.0,0.003192261351986135,'build wind non-float'
0.020573238690983466,0.17853575550862325,0.05095229358573124,0.01067700581769965,0.9729590491344274,0.001756975640887284,0.1354222763206968,0.0,0.0,'build wind float'
0.020585919708230028,0.1898623158580783,0.05088255934614216,0.007848905431053843,0.971505036026475,0.0014885855127860738,0.13058954725805103,0.0,0.0,'vehic wind float'
0.02042466754635213,0.1769558774661702,0.046461018056186236,0.023701852689532687,0.9760853880325735,0.00808017705324978,0.11285313951038861,0.0,0.002289383498420771,'vehic wind float'
0.020414598949048086,0.18139492168005975,0.04682895604203322,0.023010780124102532,0.9758723828069682,0.008343089869557644,0.10751820654478318,0.0,0.0,'build wind non-float'
0.020218275798986825,0.19656046245694717,0.0,0.026652266095857243,0.9730742351597479,0.0,0.11367191489883113,0.02118855154620651,0.0010660906438342897,headlamps
